                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7823,                 4.2865,                 1.6653,                0.00497,                0.25308,                 0.0339,                0.02128,                 1.3347,                 4.1077,                 1.3089,                 0.0874,                 0.0014,                 0.0014
                      1,                 1.0571,                  3.535,                 1.1041,                0.01321,                0.67333,                0.15393,                0.10934,                 1.0361,                 3.6834,                  1.131,               0.073804,              0.0028043,              0.0028043
                      2,                 1.0162,                 2.8878,                 1.0575,                0.01773,                0.85667,                0.23491,                0.16609,                0.94288,                 3.3346,                 1.0308,                0.06011,              0.0041096,              0.0041096
                      3,                 1.0549,                 2.4341,                 1.0714,                0.02146,                      1,                0.29744,                0.21672,                0.96181,                 3.1984,                 1.0145,               0.046316,              0.0053159,              0.0053159
                      4,                 1.0533,                 2.0369,                 1.0616,                0.73582,                0.16621,                0.46448,                 0.3278,                 1.0969,                 2.7591,                 1.1309,               0.032423,              0.0064232,              0.0064232
                      5,                 1.0738,                 1.9028,                 1.1149,                0.82035,                0.22425,                0.52606,                0.34338,                 1.2068,                 2.7562,                 1.2231,               0.018431,              0.0074315,              0.0074315
                      6,                 1.0672,                 1.7262,                 1.1442,                0.80523,                0.41216,                0.69984,                0.48294,                 1.0477,                 2.5506,                 1.1153,                0.00802,                0.00802,                0.00802
                      7,                 1.0269,                 1.6259,                 1.1115,                0.75321,                0.72024,                0.81817,                0.59398,                 1.0216,                 1.7725,                 1.1182,                0.00802,                0.00802,                0.00802
                      8,                0.98762,                 1.4508,                  1.093,                 0.7227,                0.77245,                0.85419,                0.63858,                 1.0033,                 1.3594,                 1.1292,                0.00769,                0.00769,                0.00769
                      9,                0.97125,                 1.3359,                 1.0716,                0.81119,                  0.901,                0.91441,                 0.6752,                 1.0387,                 1.4152,                 1.1195,                0.00736,                0.00736,                0.00736
                     10,                0.99208,                 1.2626,                 1.0853,                0.89618,                0.88979,                0.92946,                0.68694,                 1.0237,                  1.154,                 1.1161,                0.00703,                0.00703,                0.00703
                     11,                0.98922,                 1.1837,                 1.0788,                 0.8381,                0.94855,                0.93226,                0.69659,                 1.0296,                 1.0989,                 1.1079,                 0.0067,                 0.0067,                 0.0067
                     12,                0.95251,                 1.1202,                 1.0488,                0.87498,                0.94022,                0.93501,                0.69322,                 1.0269,                  1.093,                 1.1209,                0.00637,                0.00637,                0.00637
                     13,                0.91305,                 1.0978,                 1.0675,                 0.9042,                 0.9361,                0.94344,                0.68655,                  1.035,                 1.0717,                 1.1345,                0.00604,                0.00604,                0.00604
                     14,                0.89719,                 1.0931,                 1.0388,                0.91968,                0.95299,                0.94633,                0.71097,                 0.9848,                 0.9546,                 1.1038,                0.00571,                0.00571,                0.00571
                     15,                0.87357,                0.98562,                   1.04,                0.92966,                  0.929,                0.93666,                0.70346,                0.98786,                0.99543,                 1.0714,                0.00538,                0.00538,                0.00538
                     16,                0.88145,                 1.0087,                 1.0273,                0.93089,                0.94679,                0.94136,                0.69594,                 1.0041,                0.96004,                 1.1071,                0.00505,                0.00505,                0.00505
                     17,                0.86378,                0.99071,                 1.0171,                0.94568,                0.93953,                0.94346,                0.70859,                0.97964,                0.96329,                 1.0846,                0.00472,                0.00472,                0.00472
                     18,                0.85581,                0.93071,                 1.0133,                0.93873,                 0.9536,                0.94584,                0.71524,                 0.9399,                0.93115,                 1.0674,                0.00439,                0.00439,                0.00439
                     19,                0.82143,                0.88167,                 0.9903,                0.94284,                0.95967,                0.94768,                0.71802,                0.95217,                0.90154,                 1.0497,                0.00406,                0.00406,                0.00406
                     20,                0.73206,                0.79633,                 1.0249,                0.88869,                0.95542,                0.94507,                0.69836,                0.98614,                  1.019,                 1.0515,                0.00373,                0.00373,                0.00373
                     21,                0.73858,                0.79273,                  1.009,                0.91626,                0.96037,                0.94257,                0.73934,                0.91132,                0.90298,                 1.0283,                 0.0034,                 0.0034,                 0.0034
                     22,                0.71953,                0.75876,                0.99384,                0.90781,                0.94132,                0.94431,                0.72709,                0.92176,                0.86135,                 1.0402,                0.00307,                0.00307,                0.00307
                     23,                0.70385,                0.73144,                0.99097,                0.94088,                0.96466,                0.95151,                0.72298,                0.93845,                0.84231,                  1.051,                0.00274,                0.00274,                0.00274
                     24,                0.68645,                0.71213,                0.97773,                0.93729,                0.96388,                0.95452,                0.72177,                0.95662,                0.83728,                 1.0517,                0.00241,                0.00241,                0.00241
                     25,                0.65968,                0.68652,                0.96572,                0.93182,                 0.9675,                0.94795,                 0.7111,                0.96586,                0.83902,                  1.076,                0.00208,                0.00208,                0.00208
                     26,                0.65422,                0.68466,                0.95318,                0.92665,                0.96372,                0.94618,                0.71715,                0.94166,                 0.8019,                 1.0566,                0.00175,                0.00175,                0.00175
                     27,                0.64024,                0.67389,                0.95896,                0.93643,                0.95068,                0.94783,                0.72393,                0.91998,                0.79964,                 1.0497,                0.00142,                0.00142,                0.00142
                     28,                0.61669,                0.65375,                0.95574,                0.93164,                0.95345,                0.95292,                0.72594,                0.92465,                0.79563,                 1.0402,                0.00109,                0.00109,                0.00109
                     29,                0.62278,                0.65768,                0.97551,                 0.9347,                0.96592,                0.95435,                0.73426,                 0.9231,                0.78671,                  1.036,                0.00076,                0.00076,                0.00076
